name,gender,address,date_of_birth,nis,nisn,parent_name,parent_phone,semester,academic_year,present_count,sick_count,excused_count,unexcused_count,attendance_percentage,average_score,failed_subjects_count,incomplete_assignments_count,parents_income,monthly_expenses,parents_education_level,birth_order,dependents_count,has_kip_scholarship,is_working_student,has_internet_access,distance_to_school_km,housing_status,transportation_mode
Eka Sari,P,"Jl. Jend. Sudirman No. 50, Dumai, Riau",2015-05-15,44744364,2518861419,Amiruddin,082632645634,1,2026/2027,81,5,1,13,81,84.02,0,0,6400000,3500000,senior high school,1,3,True,False,True,5.6,OWNED,motorcycle
Elira,P,"Jl. Jend. Ahmad Yani No. 2, Sungai Penuh, Jambi",2015-11-17,37089132,2513468868,Asril,083949967457,1,2026/2027,87,3,6,4,87,74.34,0,0,5900000,3300000,senior high school,3,3,False,False,False,1.04,RENTED,bicycle
Elsa Amelia,P,"Jl. Yos Sudarso No. 88, Lubuklinggau, Sumatera Selatan",2015-05-27,92073565,2515822504,Kurniawan,088752573204,1,2026/2027,77,0,6,17,77,90.33,0,0,9500000,3300000,senior high school,4,4,False,False,True,13.21,OWNED,motorcycle
Erniawati,P,"Jl. Jend. Sudirman No. 15, Pagar Alam, Sumatera Selatan",2015-10-31,59560109,2516664901,Bakri,087864054475,1,2026/2027,84,3,7,6,84,88.5,0,0,4300000,3400000,senior high school,1,1,True,True,True,2.74,WITH_RELATIVES,bicycle
Esti Rahayu,P,"Jl. Jend. Sudirman No. 44, Prabumulih, Sumatera Selatan",2015-06-27,35490090,2513444759,Herianto,081727401790,1,2026/2027,85,7,0,8,85,95.11,0,0,5800000,5700000,bachelor,1,1,False,False,True,7.26,RENTED,bus
Fani Anastasia,P,"Jl. Jend. Sudirman No. 10, Metro, Lampung",2015-04-15,30031760,2512963157,Supriyadi,082642447689,1,2026/2027,85,1,3,11,85,96.68,0,0,5600000,7100000,bachelor,2,3,False,True,False,4.26,OWNED,motorcycle
Farida Nurhan,P,"Jl. Protokol No. 3, Cilegon, Banten",2015-12-19,59668437,2512195263,Mulyono,080841998471,1,2026/2027,80,6,4,10,80,65.21,0,0,9800000,3800000,senior high school,1,1,False,False,True,10.19,OWNED,car
Febby Rastanty,P,"Jl. KH. Syam'un No. 14, Serang, Banten",2015-09-10,26274066,2518373470,Rasyid,089390221385,1,2026/2027,65,7,4,24,65,65.33,0,0,3800000,7000000,senior high school,1,1,False,True,False,5.2,OWNED,motorcycle
Fitri Carlina,P,"Jl. Pahlawan Seribu No. 8, Tangerang Selatan, Banten",2015-04-27,60095439,2512416282,Sukhendra,089575205588,1,2026/2027,65,8,6,21,65,78.55,0,0,4600000,4000000,bachelor,3,4,False,False,True,1.05,OWNED,bicycle
Fitria Lestari,P,"Jl. Jend. Ahmad Yani No. 19, Lubuklinggau, Sumatera Selatan",2015-11-11,54831148,2514099062,Fauzi,085876154310,1,2026/2027,81,2,6,11,81,85.04,0,0,3400000,4900000,senior high school,2,2,False,True,True,6.03,OWNED,motorcycle
Gisella Anastasia,P,"Jl. Mulawarman No. 22, Bontang, Kalimantan Timur",2015-07-12,34346079,2517789961,Alal Suryanto,082229190927,1,2026/2027,80,2,4,14,80,89.54,0,0,4900000,6100000,senior high school,1,1,True,True,False,4.53,RENTED,bus
Gita Gutawa,P,"Jl. Yos Sudarso No. 5, Tarakan, Kalimantan Utara",2015-05-01,48842815,2518020448,Erwin Gutawa,089718471848,1,2026/2027,91,5,2,2,91,89.55,1,5,2800000,3600000,bachelor,2,3,False,True,False,12.71,RENTED,motorcycle
Hana Saraswati,P,"Jl. Jend. Sudirman No. 12, Singkawang, Kalimantan Barat",2015-01-08,91195061,2512267523,Sujatmiko,089325683325,1,2026/2027,83,10,7,0,83,76.65,0,0,7400000,4500000,senior high school,3,3,False,True,False,6.87,WITH_RELATIVES,motorcycle
Hany,P,"Jl. G. Obos No. 45, Palangkaraya, Kalimantan Tengah",2015-09-11,40983122,2515015299,Sukaryo,083719013524,1,2026/2027,76,0,4,20,76,87.39,0,0,7800000,4900000,senior high school,1,1,True,False,False,0.78,OWNED,walk
Happy Salma,P,"Jl. Jend. Ahmad Yani No. 77, Banjarbaru, Kalimantan Selatan",2015-05-02,58175764,2511610770,Yudi Sulistyo,088233367448,1,2026/2027,73,10,0,17,73,84.1,0,0,1400000,5700000,bachelor,3,3,False,True,True,0.31,OWNED,walk
Iis Dahlia,P,"Jl. Sam Ratulangi No. 18, Bitung, Sulawesi Utara",2015-02-16,76132346,2518533723,Dadang Iskandar,080665598654,1,2026/2027,84,0,6,10,84,92.96,0,0,5000000,3900000,senior high school,1,3,False,False,True,8.14,WITH_RELATIVES,car
Indah Permatasari,P,"Jl. Raya Tomohon No. 9, Tomohon, Sulawesi Utara",2015-01-08,93308591,2519553726,Nasruddin,085218791497,1,2026/2027,86,2,3,9,86,69.77,0,1,8800000,6900000,senior high school,1,3,True,False,False,14.38,OWNED,car
Inul Daratista,P,"Jl. Ahmad Yani No. 31, Kotamobagu, Sulawesi Utara",2015-07-31,85183078,2513141137,Aman Jakaria,088849394990,1,2026/2027,67,5,1,27,67,66.41,0,0,3700000,6700000,bachelor,4,5,True,True,False,8.9,OWNED,car
Ira Wibowo,P,"Jl. Nani Wartabone No. 4, Gorontalo, Gorontalo",2015-03-28,88245567,2512624481,Wibowo Wirjodiprojo,086769220720,1,2026/2027,92,4,0,4,92,72.35,0,1,2100000,3200000,senior high school,1,3,False,True,False,13.36,RENTED,car
Isyana Sarasvati,P,"Jl. Jend. Sudirman No. 55, Palopo, Sulawesi Selatan",2015-04-07,42825510,2511674106,Sapta Dwikardana,085386417780,1,2026/2027,74,8,0,18,74,98.54,0,0,3300000,5000000,senior high school,1,4,False,True,False,14.14,RENTED,motorcycle
Jessica Mila,P,"Jl. Pemuda No. 8, Parepare, Sulawesi Selatan",2015-09-28,86072048,2513346747,Bambang Sutedjo,089597985291,1,2026/2027,69,1,6,24,69,71.31,0,0,2500000,5500000,bachelor,3,4,False,True,True,8.25,WITH_RELATIVES,bus
Juita Bahar,P,"Jl. Jend. Sudirman No. 14, Bau-Bau, Sulawesi Tenggara",2015-02-16,51944860,2515275115,Memo Sanjaya,083333321920,1,2026/2027,73,5,0,22,73,84.71,0,0,3900000,5300000,bachelor,1,2,False,True,True,2.91,RENTED,bicycle
Julia Perez,P,"Jl. Abdullah Silondae No. 20, Kendari, Sulawesi Tenggara",2015-01-12,76775463,2517771396,Angkasa Jaya,081814625223,1,2026/2027,71,3,6,20,71,94.11,0,0,7300000,7400000,senior high school,1,4,False,True,True,14.19,RENTED,car
Kartika Putri,P,"Jl. Pahlawan Revolusi No. 3, Ternate, Maluku Utara",2015-10-17,45568181,2510160409,Mustofa,082254765452,1,2026/2027,91,5,3,1,91,87.94,0,0,2600000,7900000,bachelor,1,1,False,True,True,10.51,WITH_RELATIVES,car
Keisya Levronka,P,"Jl. Jend. Sudirman No. 9, Sorong, Papua Barat",2015-06-22,82110775,2519794025,Havron Liebchen,080124525414,1,2026/2027,73,0,4,23,73,94.83,0,0,5900000,5600000,senior high school,1,1,False,False,True,2.36,OWNED,bicycle
